FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
urbanizacao.fid--370298aa_15b3a2610e3_-7662,25138,Urbanização - Vale do Reginaldo II - Maceió - AL,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,AL,MACEIÓ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.7279090881348 -9.64727020263672)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7661,25139,Urbanização - Lagoa do Sururu Capote - Maceió - AL,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AL,MACEIÓ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.7650299072266 -9.66388988494873)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7660,25140,Urbanização - Vale do Reginaldo I - Maceió - AL,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AL,MACEIÓ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.72889 -9.64806)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765f,25141,Urbanização - Conjunto Habitacional Cidadão VIII (Tarumã) Cidadão IX e X (Áurea Braga) e Prédio Popular - Manaus - AM,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AM,MANAUS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-60.039444 -3.014722)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765e,25142,Urbanização - Provisão Habitacional para remoção de moradias em áreas de risco - Manaus - AM,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AM,MANAUS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-59.9415 -3.033555)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765d,25143,Urbanização - Igarapé da Bacia do Tarumã e Bacia do São Raimundo - Manaus - AM,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,AM,MANAUS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-59.998861 -2.968338)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765c,25144,Urbanização - Vila Mucajá - 1ª e 2ª etapas - Macapá - AP,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,AP,MACAPÁ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.0603790283203 0.016611)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765b,25145,Urbanização - Bairros de Águas Claras e Pirajá - Salvador - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,SALVADOR,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.4379692077636 -12.8907899856567)),0
urbanizacao.fid--370298aa_15b3a2610e3_-765a,25146,Urbanização - Comunidade Pitanguinha- Nova Pitanguinha- Oceania- Lobão- São Conrado- Palmares e Pitanga de Palmares - Simões Filho - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,SIMÕES FILHO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.3876800537109 -12.8114404678344)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7659,25147,Urbanização - Nova Constituinte (Vale do Paraguai - Periperi) - Salvador - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,SALVADOR,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.4697113037109 -12.862000465393)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7658,25148,Urbanização - Candolândia - Santo Amaro - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,SANTO AMARO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.7732009887695 -12.5411701202393)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7657,25149,Urbanização - Falha Geológica - 1ª etapa - Alto do Bom Viver- Baixa do Cacau e Casarões no Centro Histórico - Salvador - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,SALVADOR,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.5117301940917 -12.972840309143)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7656,25150,Urbanização - Bairro de Itinga - Lauro de Freitas - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,LAURO DE FREITAS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.3540611267089 -12.8779697418212)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7655,25151,Urbanização - Lagoa da Base - Lauro de Freitas - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,LAURO DE FREITAS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.3193283081054 -12.8983602523803)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7654,25152,Urbanização - Mapele- Aratu- Cotegipe- Invasão Piatã e Engenheiro Paulo Moreira - Simões Filho - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,SIMÕES FILHO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.427791 -12.796509)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7653,25153,Urbanização - Lagoa Grande - Feira de Santana - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,FEIRA DE SANTANA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.9422416687011 -12.2452201843261)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7652,25154,Urbanização - Bacia do Rio Maranguapinho - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.480333 -3.780222)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7651,25155,Urbanização - Lagoa do Urubu - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.5755004882813 -3.72238993644714)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7650,25156,Urbanização - Lagoa do Papicu - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.4689407348633 -3.74324989318848)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764f,25157,Urbanização - Vila do Mar - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.543 -3.717)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764e,25158,Urbanização - Bacia do Rio Cocó - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.5279006958008 -3.81956696510315)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764d,25159,Urbanização - Favela Maravilha - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.5294189453125 -3.7649290561676)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764c,25160,Urbanização - Zona urbana do município - Brasília - DF,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,DF,BRASÍLIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.8591995239257 -15.6761999130249)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764b,25161,Urbanização - QNR 02 a 05 Ceilândia Terracap - Brasília - DF,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,DF,BRASÍLIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.8591995239257 -15.6761999130249)),0
urbanizacao.fid--370298aa_15b3a2610e3_-764a,25164,Urbanização - Estrutural Terracap - Brasília - DF,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,DF,BRASÍLIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.8591995239257 -15.6761999130249)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7649,25165,Urbanização - Poligonal 1 - 1ª e 2ª etapa - Vitória - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,VITÓRIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.309009552002 -20.3020992279053)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7648,25166,Urbanização - Dom João Batista - 2.ª etapa - Vila Velha - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,VILA VELHA,--,Inclui investimento 2007 a 2010.,Concluído,30 de Junho de 2016,MULTIPOINT ((-40.3235397338867 -20.3386993408203)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7647,25167,Urbanização - Baixada do Rio Arabiri - Ilha da Conceição- Pedra dos Búzios- Ilha das Flores- 1º de Maio- Zumbi dos Palmares e Santa Rita - Vila Velha - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,VILA VELHA,--,Inclui investimento 2007 a 2010.,Concluído,30 de Junho de 2016,MULTIPOINT ((-40.3305702209473 -20.3354606628418)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7646,25168,Urbanização - Nova Canaã - Cariacica - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,CARIACICA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.3720893859863 -20.2861595153809)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7645,25169,Urbanização - Bairro Operário - Cariacica - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,CARIACICA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.4184684753418 -20.3376293182373)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7644,25170,Urbanização - Bairro Novo Horizonte - 2.ª etapa - Serra - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,SERRA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.2455406188965 -20.2154808044434)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7643,25171,Urbanização - Bairro Vila Nova de Colares - Córrego Laripe- outros e entorno - Serra - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,SERRA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.2084808349609 -20.1783905029297)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7642,25173,Urbanização - Residencial Buena Vista e Residencial Orlando de Morais - Goiânia - GO,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,GO,GOIÂNIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.4076614379882 -16.7290496826171)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7641,25174,Urbanização - Bairro Setor Sul - Anápolis - GO,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,GO,ANÁPOLIS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.8890266418457 -16.3035430908203)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7640,25179,Urbanização - Grande Cafeteira e Riacho Bacuri - Imperatriz - MA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MA,IMPERATRIZ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.4572715759277 -5.49508094787598)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763f,25180,Urbanização - Península Ipase - São Luís - MA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MA,SÃO LUÍS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.2530097961426 -2.53222489356995)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763e,25181,Urbanização - Margem Esquerda do Rio Anil - São Luís - MA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,MA,SÃO LUÍS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.2907295227051 -2.52382206916809)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763d,25182,Urbanização - Bairros Padre Teodoro- Alvorada- Planalto- Montreal- Monte Carlo- Itapoã- Iraque e Kuwait - Sete Lagoas - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,SETE LAGOAS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.2236404418945 -19.4111194610595)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763c,25183,Urbanização - Bairro Nova Suíça- Lajinha e Alto São Vicente - Divinópolis - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,DIVINÓPOLIS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.8935279846191 -20.1295566558837)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763b,25184,Urbanização - Bairro Carapina- Asteca- Atalaia. Vila União Ipe- Penha- Jardim Primavera e Ozanam - Governador Valadares - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,GOVERNADOR VALADARES,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-41.9436111450195 -18.9116706848144)),0
urbanizacao.fid--370298aa_15b3a2610e3_-763a,25185,Urbanização - Vila Primavera e Vila Águia Dourada (vilas conurbadas) - Ibirité - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,IBIRITÉ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.034754 -20.024722)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7639,25186,Urbanização - Vila Castelo Branco- Vila do Cedro e Vila São Lourenço - Montes Claros - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,MONTES CLAROS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.8732414245605 -16.6745491027832)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7638,25187,Urbanização - Diversos Bairros - Ribeirão das Neves - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,RIBEIRÃO DAS NEVES,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.0800590515136 -19.7954998016357)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7637,25188,Urbanização - Vila Califórnia - Belo Horizonte - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,Inclui investimento 2007 a 2010.,Concluído,30 de Junho de 2016,MULTIPOINT ((-44.0050506591796 -19.9167098999023)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7636,25190,Urbanização - Ribeirão Arrudas (Tripartite) - Contagem - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,MG,CONTAGEM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.054 -19.932)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7635,25191,Urbanização - Sede do município - Santa Luzia - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,SANTA LUZIA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.9320106506347 -19.7854595184326)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7634,25192,Urbanização - Cravo Vermelho III- Tiradentes- Pantanal e Lar Doce Lar - Corumbá - MS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MS,CORUMBÁ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-57.64434 -19.044604)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7633,25194,Urbanização - Nascentes do Córrego Água Boa e Fundo de Vale do Jardim Clímax - Dourados - MS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MS,DOURADOS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.841259 -22.229573)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7632,25195,Urbanização - Jardim Icaraí e Jardim São João - Várzea Grande - MT,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MT,VÁRZEA GRANDE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-56.103399 -15.68080044)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7631,25196,Urbanização - Riacho Doce e Pantanal - 3ª etapa - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4543113708496 -1.46802294254303)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7630,25197,Urbanização - Comunidade Pantanal Mangueirão - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4520225524902 -1.38310277462005)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762f,25198,Urbanização - Riacho Doce e Pantanal - 2ª etapa - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4552917480469 -1.47127604484558)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762e,25199,Urbanização - Riacho Doce e Pantanal - 1ª etapa - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4549026489258 -1.46700596809387)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762d,25200,Urbanização - Igarapé Taboquinha - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4812698364258 -1.29133105278015)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762c,25201,Urbanização - Vila da Barca - 3ª etapa - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4895782470703 -1.42708301544189)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762b,25202,Urbanização - Comunidade Fé em Deus - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4497909545898 -1.31109201908111)),0
urbanizacao.fid--370298aa_15b3a2610e3_-762a,25203,Urbanização - Comunidade Pratinha - Distrito de Icoaraci - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4793243408203 -1.35346662998199)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7629,25204,Urbanização - Portal da Amazônia - Belém - PA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PA,BELÉM,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.5005912780762 -1.47187805175781)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7628,25205,Urbanização - Linea Férrea Araxá - Campina Grande - PB,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PB,CAMPINA GRANDE,--,Inclui investimento 2007 a 2010.,Concluído,30 de Junho de 2016,MULTIPOINT ((-35.909168 -7.205174)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7627,25206,Urbanização - Bodocongó - Campina Grande - PB,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PB,CAMPINA GRANDE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.926959 -7.218041)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7626,25208,Urbanização - Favela do Maruim- Chiado do Rato e Vila Esperança em Pontes dos Carvalhos e implantação de moradias em Garapú - Cabo de Santo Agostinho - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PE,CABO DE SANTO AGOSTINHO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.0300064086914 -8.28000545501708)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7625,25210,Urbanização - Camela - Ipojuca - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PE,IPOJUCA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.0603523254394 -8.39000225067138)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7624,25216,Urbanização - Vila Charnequinha - Cabo de Santo Agostinho - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PE,CABO DE SANTO AGOSTINHO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.030509 -8.283234)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7623,25217,Urbanização - UE 23 Campo Grande - Recife - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PE,RECIFE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-34.8816223144531 -8.02973270416259)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7622,25218,Urbanização - Via Mangue: Comunidades Bode- Encanta Moça e Jardim Beira Rio (Bacia do Rio Jordão) - Recife - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PE,RECIFE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-34.881 -8.054)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7621,25219,Urbanização - Imbiribeira - Sítio Grande e Dancing Days - Recife - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PE,RECIFE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-34.91265 -8.09937)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7620,25221,Urbanização - Bacia do Beberibe - UE 03- 04- 08- 17- 19- 20- 21 e diversas comunidades - Prometrópole - Recife - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PE,RECIFE,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-34.881 -8.054)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761f,25222,Urbanização - Nova Teresina - Teresina - PI,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PI,TERESINA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-42.7968292236328 -5.01683282852172)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761e,25223,Urbanização - Vila Bairro/PLN - Teresina - PI,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PI,TERESINA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-42.770555 -5.128333)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761d,25224,Urbanização - Bairro Jardim Guaraituba e áreas circunvizinhas - Colombo - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PR,COLOMBO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.1503601074218 -25.3580207824707)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761c,25225,Urbanização - Terra Santa - Curitiba - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PR,CURITIBA,--,Inclui investimento 2007 a 2010.,Concluído,30 de Junho de 2016,MULTIPOINT ((-49.3199996948242 -25.5569400787353)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761b,25226,Urbanização - Bairro Guarituba - Piraquara - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PR,PIRAQUARA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.063 -25.442)),0
urbanizacao.fid--370298aa_15b3a2610e3_-761a,25228,Urbanização - Roca Grande (Jardim Contorno)- Vila Marambaia e Liberdade - Colombo - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PR,COLOMBO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.2090682983398 -25.3600807189941)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7619,25229,Urbanização - Iraí - Pinhais - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PR,PINHAIS,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.1766700744628 -25.413610458374)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7618,25230,Urbanização - Santa Felicidade - Maringá - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PR,MARINGÁ,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.927299 -23.45626)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7617,25231,Urbanização - Passaúna - Campo Magro - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PR,CAMPO MAGRO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.358547 -25.375156)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7616,25233,Urbanização - Rocinha - 1ª etapa - Rio de Janeiro - RJ,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,RJ,RIO DE JANEIRO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.208 -22.903)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7615,25234,Urbanização - Morro do Pau Branco - São João de Meriti - RJ,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,RJ,SÃO JOÃO DE MERITI,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.356111 -22.781944)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7614,25235,Urbanização - Rocinha - 2ª etapa - Rio de Janeiro - RJ,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,RJ,RIO DE JANEIRO,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.244377 -22.9881185)),0
